Pessoa;Fala ;
Pesquisador;Bom, deixa eu te perguntar antes, tu já participou de algum tipo de entrevista acadêmica antes?;
Entrevistado;Não...;
Pesquisador;Então deixa eu te explicar algumas coisas antes de efetivamente dar início a entrevista. A primeira informação que eu queria te passar é que todas as informações, tanto da coleta de dados do formulário quanto aqui na entrevista, vão ser totalmente anonimizadas. Então não vai ter nenhum vínculo a tua pessoal, não vmaos divulgar nenhum dado pessoal teu no nosso estudo. Outro detalhe é que  a tua participação é totalmente voluntária, então, a qualquer momento que tu sentir desconfortável ou não quiser mais fazer parte do nosso estudo, pode comunicar que vamos vamos desconsiderar a tua participação. Não vai ter nenhum dano. O terceiro ponto é que, por ser um estudo com pessoas, precisamos do teu consentimento para gravação dessa entrevista, vamos considerar apenas o áudio para a transcrição e análise.;
Entrevistado;Está tudo bem, eu autorizo sim, sem problema ;
Pesquisador;Vamos lá, eu queria comentar um pouquinho sobre o teu diagnóstico... Vi que fostes diagnosticada com TDAH e TPAC;
Entrevistado;Isso, o TPAC ele é um transtorno de processamento auditivo central, né? Foi, foi bem... Eu fiquei bem surpresa com o diagnóstico, mas explicou muita coisa na minha vida toda e é bem recente, tem menos de tem em torno de 4,5 meses que eu fui diagnosticada com os 2, né? Faço acompanhamento com uma neuropsicóloga, né? Comecei com ela ano passado. Na verdade...  Ela foi minha psicóloga já há um tempo, em 2018. Ai tava indo em algumas sessões assim, bem pouquinhas, né? Porque eu fazia pelo plano, né? Aí parei de ir com ela em 2020. Quando foi eu retornei ano passado. Aí foi quando ela sinalizou, né? Sobre a questão de fazermos um teste de TDAH e tudo mais. Aí ela fez o pacote todo aí, confirmou o TDAH e confirmou o TPAC, né? Pra confirmar o TPAC eu precisei ir pro otorrino, né? Então lá com o otorrino eu fiz o teste de cabine, que tinha que ficar dentro de uma cabine, com aquele fone de ouvido e tal na cabine abafada e escutava alguns sons passava alguns comandos, né? A moça me passava alguns comandos e eu tinha que responder, né? Aí cada vez que eu ouvia era um, era um comando diferente. E aí saiu o diagnóstico de TPAC, o transtorno em processamento auditivo central. Eu escuto bem, minha audição é normal, só que meu cérebro demora, tem um delayzinho aí pra processar, certo? Aí isso explica muito, porque, por exemplo, a minha vida toda, o pessoal me encarnando, me chamado de Kiko, por exemplo. Ah, mas ela parece o Kiko e tal, porque era uma piada e eu ria, tipo 2 horas, 3 horas depois, ou então às vezes até no outro dia. Ou então eu precisava de uma explicação da piada e era uma piada simples, entendeu? Mas eu não não entendia aí, então tinha muito isso aí, então eu acabou explicando muito. Principalmente essa parte, né? Das piadas e dos memes que eu demoro pra entender.;
Pesquisador;Continuando nessa linha do teu diagnóstico, eu queria saber se já chegastes a comentar com amigos ou parentes sobre o teu diagnóstico? Se sentes confortável? ;
Entrevistado;Sim, para mim é, é bem confortável, até porque eu sei da importância disso, né?...   Por exemplo, eu não sabia que TDAH era neurodivergente. Eu pensei pra mim que era só quem tinha autismo, né, alguma outra coisa. Não sabia que TDAH também entrava, sabe? Então eu percebi que dar visibilidade pra isso é importante. Eu não me sinto tão desconfortável em falar porque pra mim é mais importante as pessoas terem conhecimento disso do que como eu vou me sentir, entendeu? Então eu acabo deixando mais... Entendo perfeitamente quem não consegue, entendeu? Também acho que isso é uma coisa que é uma coisa pessoal. Então para mim achei ok, então não tem problema de falar sobre isso;
Pesquisador;No teu ambiente de trabalho também não tem nenhuma questão com relação a isso?;
Entrevistado;Não, não;
