Pessoa;Fala;Marco Temporal
Pesquisador;Então, vou esclarecer algumas coisas antes da gente começar, bem rapidinho. O primeiro ponto é todas as informações tratadas, tanto na entrevista quanto no formulário, serão totalmente anonimizadas. Então não vai ter nenhum compartilhar nenhum dado pessoal ou algo que possa vincule a tua pessoa, certo? O segundo ponto é que a tua participação é totalmente voluntária no estudo, então a qualquer momento, caso tu não se sinta mais confortável em participar do estudo é só me comunicar que eu faço a desvinculação e não vai ter nenhum problema com relação a isso. O terceiro ponto é que por se tratar de uma pesquisa com pessoas, precisamos da tua autorização para a coleta de dados, no caso a transcrição dessa entrevista, para análise. Você autoriza?;
Entrevistado;Sim, eu autorizo a coleta dos dados;
Pesquisador;Perfeito. Então vamos dar início aqui a nossa entrevista. A gente tem uma duração média de 30 minutos. Então eu queria começar te perguntando sobre o teu diagnóstico. Há quanto tempo obteve esse diagnóstico? Foi feito por qual profissional?;
Entrevistado;Bem, o diagnóstico ele foi oficializado recente, foi em julho do ano passado. Mas a minha jornada, né, de acompanhamento psiquiátrico se iniciou em 2017. Eu tinha problemas de ansiedade que estavam afetando a minha imunidade. Então fazia acompanhamento psicoterapêutico desde a faculdade, com apoio da própria faculdade. Mas, teve um período que os sintomas ansieada começaram a afetar a minha imunidade, então eu tinha vários problemas respiratórios por causa disso e ficava doente muito rápido, muito fácil. E aí eu recomendado pelo psicólogo logo a iniciar o acompanhamento com o psiquiatra e comecei tomando os ansiolíticos, ****, *****. Mas os problemas sempre continuavam. E acabei entrando no ciclo de polifarmácia, né? Então comecei a tomar medicação para o sono, a partir daí o regulador de humor. Então, na pandemia ficou mais complicado ainda. Estava com os próprios sintomas mesmo, emocionais e mentais, junto com os efeitos colaterais das medicações. E eu tive vários episódios de abuso de medicação, então eu mudei de psiquiatra. Acredito 2022 que eu troquei de psiquiatra. E esse psiquiatra, ele é um especialista em autistas adultos, mas eu cheguei com a demanda já com o diagnóstico, já recebido pela psiquiatra anterior, inclusive a psiquiatra já estava suspeitando por conta da minha não reação aos medicações do possível transtorno bipolar. E aí esse novo psiquiatra fez a continuação do acompanhamento, mas também percebeu que a minha ansiedade era muito resistente às medicações, estava tomando doses altíssimas. E em dezembro do ano passado, estava tomando 3 antidepressivos, 1 regulador de humor, 2 antipsicóticos e fazendo aquela estimulação transcraniana. Então eram muitos, muitas intervenções químicas e até não químicas, como a questão transcraniana. Eu estava com várias questões em camadas, então com a depressão, questão do TDAH também por conta do ****. Então nada parecia funcionar. E aí o médico ele começou a se questionar do que poderia estar por trás, né? De tantas tantas sintomas, de tantas coisas. E aí ele começou uma bateria de testes online que ele mesmo tem no site dele e pediu para eu fazer alguns testes de personalidade e o de autismo. E surpreendentemente, o teste de autismo deu uma pontuação muito elevada, então ali começou a surgir hipótese de o que poderia estar por trás de todas comorbidades, podia ser o próprio autismo. Ele me encaminhou para uma neuropsicóloga e eu fiz a avaliação neuropsicológica com toda aquela bateria de testes, o autorrelato, a questão  cognitiva e um conjunto de testes bem extensivo. E no diagnóstico dela, ela deu o atestado de autismo com transtorno de ansiedade generalizada e aí próprio médico fez um outra bateria de testes e realmente cruzou as informações dos diagnósticos e concluiu que era autismo. Daí eu fui orientado a buscar tratamentos voltados para essa questão da regulação sensorial, regulação emocional e funcionou. Funcionou tanto que eu saí de todas as medicações. Hoje eu não tenho mais nenhuma medicação psiquiátrica, apenas de técnicas de regulação e adaptações de estruturas de vida. Mas essa foi a minha jornada até o diagnóstico em si;
Pesquisador;Eu só fiquei com uma dúvida, que tu comentaste que tomastes medição para o TDAH, mas tu tens diagnóstico também, tens o laudo? ;
Entrevistado;Não, foi uma estratégia para tentar driblar com os efeitos colaterais das próprias medicações que me deixavam no estado é de sedação;
Pesquisador;Ainda nessa linha de descoberta do teu diagnóstico, a tua família e teus amigos mais próximos, têm conhecimento do teu diagóstico?;
Entrevistado;Sim, tem conhecimento. A minha família foi a primeira a saber, até porque eu fiz um acompanhamento com uma terapeuta ocupacional voltado para autista adultose ela fez todo um processo também de acompanhamento familiar. E eu fiz algumas poucas publicações nas minhas redes sociais compartilhando o diagnóstico. Então, eu acabei tornando público. ;
Pesquisador;Então, pelo que eu entendi, tu não tem nenhum tipo de dificuldade em compartilhar o teu diagnóstico com outras pessoas? ;
Entrevistado;Sim, eu não, não tenho. Mas eu eu percebi nos últimos anos que tentar colocar o meu diagnóstico nos processos seletivos de empresas tem me trazido alguns alguns resultados mais negativos. Então, apesar de não ter problema em compartilhar, eu percebo que existe  um certo preço a pagar por isso.;
Pesquisador;E sobre esse ponto que acabastes de comentar, eu queria entender o motivo pelo qual tu sente que tem algum tipo de dificuldade nesse sentido, na busca dessas vagas? ;
Entrevistado;Bom, eu percebo assim, porque eu no mercado desde 2015,  eu saí da faculdade, entrei no estágio, entrei no mercado e desde então eu fui subindo a escadinha corporativa.Então, por exemplo, no meu último ano de trabalho, 2022. Eu estava assumindo a posição de liderança em uma empresa de saúde e não tinha diagnosticado autismo ainda. Estava passando por todas essas questões, né, de medicamentos. No final do ano, tive episódio de burnout. Fui afastado pelo psiquiatra do meu trabalho e dali para frente foi bem complicado porque eu estava sentido meio forte os efeitos das medicações. Eu demorei para me estabilizar para conseguir um novo emprego. E aí eu consegui um novo emprego em fevereiro de 2023. Em junho eu consegui uma oferta de trabalho mais atrativa. Saí desse emprego para entrar em uma outra empresa. Em julho eu recebi o diagnóstico de autismo. Compartilhei o diagnóstico com os meus empregadores e a custo eu fui desligado e desde agosto até hoje eu participei de seleções de emprego e não conseguia passar. Eu consegui 2 entrevistas em vagas que eu não compartilhei o meu diagnóstico. Mas as outras vagas que eu compartilhei o meu diagnóstico eu não consegui nenhum tipo de chamada, nem nada.;
Pesquisador;Só para tirar o resquício de dúvida, então agora tu ainda estás nessa procura de emprego?;
