Pessoa;Fala;Marco temporal
Pesquisador;Antes da gente iniciar a nossa entrevista, queria saber se tu já participou de alguma entrevista voltada para a área acadêmica antes? ;
Entrevistado;Não que me lembre;
Pesquisador;Beleza, então eu vou te explicar umas coisinhas antes da gente iniciar aqui, tá? Qualquer dúvida que tu tiveres, tu pode me interromper a qualquer momento. A primeira informação que eu queria passar é que todos os dados que foram compartilhados no formulário e que vamos compartilhar aqui na entrevista vão ser anonimados. Então não vamos disponibilizar nenhum dado pessoal seu. E a segunda coisa que eu queria falar é que a tua participação nesse estudo é voluntária. Então, a qualquer momento que tu optares por sair do estudo, não vai ter nenhum problema, fica totalmente ao teu cargo. E o terceiro ponto é que precisamos da tua autorização para trabalhar com as transcrições dessa entrevista. Você autoriza a coleta dessas informações?  ;
Entrevistado;Tudo bem, eu dou consentimento. ;
Pesquisador;Então, dado esses esclarecimentos, eu vou dar início aqui a nossa nossa entrevista. A ideia é a gente fazer essa entrevista no máximo 30 minutos e qualquer dúvida, qualquer pergunta que tu não se está confortável em responder, fica tranquilo, não tens obrigatoriedade nenhuma de responder. O primeiro bloco de perguntas é sobre o teu diagnóstico... Há quanto tempo tu descobriu? Já tinha alguns indícios na tua infância?;
Entrevistado;Bom, desde a infância eu notava que eu tinha um comportamento diferente, tinha preferências diferentes das demais crianças, né? Dos coleguinhas.... E agora, já na fase adulta, quando eu me relacionei com a minha esposa, na época éramos namorados e ela começou o estudo sobre autismo porque ela trabalha com a educação especial e ela começou a estudar autismo e comentou que eu poderia me enquadrar no espectro autista, na síndrome de Asperger. Foi então a primeira vez, isso já tem 8 anos.  Foi a primeira vez que eu acreditei estar realmente com a estar dentro do espectro..... Receber o diagnóstico não foi uma surpresa, eu já esperava. Apesar de que,   poca que fazia mais diferença da minha vida receber o diagnóstico, seria na minha infância. Se eu tivesse esse apoio que hoje já é disponível, talvez a minha vida fosse mais fácil. Enfim, eu já passei por tudo isso.. Agora na fase adulta, eu etendo que tenho muitas limitações devido ao TEA, mas de alguma forma eu aprendi a lidar com isso, eu aprendi a viver com isso. Já o TDAH, é um diagnóstico um pouco mais recente... Ah sim perdão, eu não falei quando eu recebi o diagnóstico, foi em 2020... Mas eu não tenho nenhum problema em em dizer, ah, eu sou autista, estou dentro do  espectro. Apesar de que eu não considero, sempre me considerei, uma pessoa.... Sou uma pessoa normal, como todo o mundo, apenas com essas características do espectro.... TDAH eu tive (o diangóstico) há alguns meses, fiz os testes com a psicóloga e o teste acusou que eu estarei no percentil, quase completamente dentro do não lembro exatamente como era a terminologia.... Mas eu estaria na escala máxima do TDAH e faria todo o sentido porque eu tenho desatenções, não tenho muita interatividade, eu sou até bastante comportadinho,  bastante quieto, mas desatenção e outros prejuízos do TDAH eu tenho bastante.;
Pesquisador;Só pra confirmar as informações, o TDAH foi recente, né? Foi há quantos meses?;
Entrevistado;Acho que uns 6 meses. ;
Pesquisador;Certo e para além dos teus parentes e amigos, tens algum receio em comunicar o teu diagnóstico? As pessoas que trabalham contigo têm conhecimento?;
Entrevistado;Assim, não sabem porque não perguntaram, eu sou bastante reativo. Se me perguntaram, eu vou dizer que sim. Se perguntarem especificamente explicitamente para mim, ah, estou dentro do TEA. Mas eu não sou a pessoa que, ao me apresentar aqui no grupo eu digo, ah, eu sou autista. Eu falo do autismo quando é pertinente, quando alguma característica do autismo fica em evidência, né? Por exemplo, começo a usar palavras não usuais para determinada situação ou se não entendo algum, sarcástico,  situações que são corriqueiros, né? E se for pertinente, eu menciono. olha, desculpa, eu a minha cabeça autista não entendi isso;
Pesquisador;Então vamos dar prosseguimento aqui, eu queria saber em qual  modelo de trabalho estás trabalhando atualmente? Híbrido, remoto ou presencial? ;
Entrevistado;A empresa é grande, eu estou no regime remoto, mas tem funcionários no regime híbrido, principalmente na área que eu atuo, né? Que é de desenvolvimento de software. Tem gente que vai 3 dias no escritório e 2 dias em casa, tem gente que ainda trabalha no regime presencial... Tem gente que até trabalha no exterior remoto, né? Bastando participar das reuniões... ;
Pesquisador;Fica meio livre, então?;
Entrevistado;É, me foi ofertado logo de cara aderir ao remoto... Mais cômodo, né? Pra pessoa e pra empresa porque é menos um custo que a empresa tem que arcar ao trazer um funcionário para o escritório;
Pesquisador;Eu queria entender com um pouco mais de detalhes do porquê tu preferes um remoto ao híbrido ou presencial? Quais são a os benefícios que tem no remoto e não tem nos outros modelos?;
