Pessoa;Fala ;Marco temporal
Pesquisador;Antes da gente começar efetivamente a entrevista eu queria saber se tu já fez parte de algum tipo de entrevista de cunho acadêmico antes ou essa é a primeira?;
Entrevistado;É a primeira;
Pesquisador;Perfeito. Então eu vou te explicar algumas coisas antes da gente começae e qualquer dúvida. Tu pode parar em perguntar, tá bom?;
Entrevistado;Tá bom ;
Pesquisador;A primeira coisa que eu queria te falar é com relação aos dados em que vamos tratar, tanto aqui na entrevista quanto no formulário que disponibilizamos. Todos esses dados vão ser anonimizados, então não vamos divulgar nenhum dado pessoal ou de outras pesoas que vieram a participar do estudo. A tua participação aqui n estudo é totalmente voluntária, então a qualquer momento que tu se sentir é desconfortável ou não quiser mais fazer parte do nosso estudo, não vai ter nenhum uma punição ou algo parecido. Fica bem tranquila com relação a isso. A ideia é que a gente ter uma conversa mais é leve possível, sabe? E o último ponto é com relação à autorização dos dados dessa entrevista, a transcrição desse nosso bate-papo, então vamos precisar efetivamente da tua autorização. Você autoriza?;
Entrevistado;Eu autorizo o uso de dados pra esse estudo;
Pesquisador;Perfeito. Então, agora daremos início a nossa entrevista. Ela tem duração de meia hora..  A primeira coisa que eu queria te perguntar é com relação ao teu diagnóstico? Há quanto tempo efetivamente tu fostes diagnosticada?;
Entrevistado;Parece que foi em 2020 mais ou menos;
Pesquisador;Só para entender melhor, foste diagnosticada com os 2, TEA e TDAH?;
Entrevistado;Sim, TEA, TDAH e Altas habilidades;
Pesquisador;E esse diagnóstico foi feito por qual profissional, está fechado, né?;
Entrevistado;Foi um neuropsicólogo ;
Pesquisador;E com relação ao teu diagnóstico, os teus parentes ou amigos, eles têm conhecimento disso? Tens algum problema em compartilhar? ;
Entrevistado;Os meus pais e meu irmão sabem;
Pesquisador;E na empresa que tu estás trabalhando as pessoas do teu time, mais próximas do teu dia a dia, elas têm conhecimento do teu diagnóstico? ;
Entrevistado;Sim, todos;
Pesquisador;Então não tens nenhum receio em compartilhar?;
Entrevistado;Tenho receio, não no meu ambiente de trabalho, mas em outros ambientes, sim ;
Pesquisador;Só para entender melhor, esse receio vem do quê?;
Entrevistado;O receio vem muito de.... As pessoas querendo justificar, querendo dizer que não consigo e provar que não, querendo  provar quem eu sou;
Pesquisador;Na empresa que tu estás trabalhando, qual modelo vocês utilizam, híbrido, remoto ou presencial?;
Entrevistado;Totalmente remoto;
Pesquisador;Tens preferência por algum desses modelos?;
Entrevistado;Então, eu acho que eu não aguentaria o ritmo do presencial 100%. Mas eu já fui no presencial algumas vezes e gostei bastante;
Pesquisador;Mas na atualidade tu preferes o remoto?;
Entrevistado;Sim;
Pesquisador;E quais são os motivos pelo qual tu prefere esse modelo?;
Entrevistado;O presencial exige muito carga sensorial em primeiro lugar, e em segundo, muita interação social. Então é o tempo todo pensando no que vou fazer e ter que participar das coisas da maneira em que as pessoas participam. Eu acho que esse preocupação em.... Como eu posso dizer... De fazer parte....;
Pesquisador;De socializar?;
Entrevistado;É, de conseguir socializar, de conseguir conversar, fazer as coisas como o restante das pessoas fazem;
Pesquisador;E aí, vamos continuar nessa linha do ambiente de trabalho. Eu queria que tu pudesse falar um pouquinho sobre alguns desafios que tu já tenhas enfrentado no ambiente de trabalho. Consegues lembrar de algum exemplo?;
Entrevistado;"Eu entrei na empresa por um processo de capacitação para pessoas com deficiência. Então, logo quando eu entrei, todo mundo já sabia porque eu também tinha contato com colegas com deficiência  
e os demais também tinham ciência. Então de tempos em tempos eu tinha algumas chamadas a respeito de soft skills para entender o que precisava, o que precisava mudar que pra mim não era óbvio, de entonação de jeito de falar mesmo. Eu tinha muito isso de tipo, Estava tentando explicar alguma coisa para alguém e aí a minha explicação as pessoas achavam que era grosseira, que eu não estava feliz em estar ali. Quando na verdade não era isso. Então eu tinha algumas chamadas de soft skills em que eles me explicavam ""olha, a gente que você sabe que você gosta, mas a sua voz não deixa parecer isso, então que tal fazer de tal forma?"". Eles me davam ideias e me davam tempo para fazer isso";
Pesquisador;Nossa, muito bacana essa iniciativa de não apenas incluir essas pessoas, mas também manter elas no ambiente de trabalho;
Entrevistado;Sim, o manter faz muita diferença. Porque eu até outras entrevistas de emprego, antes de conseguir entrar aqui e eu sempre era reprovada nas soft skills e eu nem sabia o motivo. Sabia que era isso, mas não sabia o que é isso. Mas ter esse feedback em si do que precisa melhorar é o que faz diferença..... Até algo interessante sobre esse ponto, na semana retrasada, a gente teve o momento de sair, de ir num barzinho e tal e eu cheguei lá e nossa, vai ser difícil pra mim ficar aqui, mas eu não queria ir embora, queria participar. Então eu cheguei ali e toda me perguntavam se estava tudo bem. A minha gestora me perguntou se eu bebia, eu disse que não e ela foi ali e comprou uma coca. Toda hora alguém do time me perguntava se estava tudo bem, se eu queria ir embora, se eu queria sair dali um tempinho. Até em outros momentos, eu tinha liberdade de falar, olha, cansei, hoje não dá mais pra mim. Eu vou voltar pro hotel e vou descansar e tudo bem, isso sabe? Sem ninguém perguntando o motivo. Nada disso. Respeitaram, tentaram ajudar no máximo que dava e me deram essa liberdade.;
Pesquisador;E, além da experiência dessa empresa, tu lembra de alguma outra situação que talvez tu tenha passado por algum tipo de desafio na tua atuação?;
Entrevistado;No geral, assim, de lugares que exigem muito de socializar, eventos que eu vou que é muito barulho, eu costumo passar mal. Tem eventos, assim, que eu participo que no terceiro dia eu não aguento mais ver gente. Eu só precisava de algumas horas sozinha descansando em silêncio, mas não dá. Ai chega esses momentos e eu já estou exausta fisicamente. Então o corpo não aguenta, dá dor de cabeça, dá tontura, dor no corpo. Então até, as vezes, erupções cultâneas também eu tenho várias, bastante que costumam coincides com esses momentos de estresse social.;
Pesquisador;Tu já comentou um pouquinho sobre a tua percepção no local de trabalho que tu atuas, falou do  acolhimento por parte do time, mas tem alguma outra coisa que queiras adicionar com relação a isso? ;
Entrevistado;É. algo que tem feito muito diferença pra mim, acho que entra no quesito de acolhimento, mas eu tenho liberdade de ser devagar em algumas coisas. Então eu tenho uma questão grave de memória, uma memória péssima. Então, quando eu entro no time, eu troquei de time várias vezes. E aí quando era, olha, minha memória é péssima eu não dou conta de lembras das coisas, eu vou ter que perguntar mil vezes e desculpa. Isso foi bem recebido nos lugares que eu passei, nos time em que eu passei. Então eu tive pessoas que pararam para explicar para mim a mesma coisa 10 vezes até eu entender, até eu dar conta de fazer sozinha e tipo, sem achar ruim ou pelo menos sem deixar transparecer isso. Então isso faz muita diferença também;
Pesquisador;E tu enxergas alguma mudança no ambiente em que estás, tanto da postura do time ou dos líderes, que tu poderia ser feito de alguma maneira para que tu se sinta ainda mais confortável?;
Entrevistado;Hmmm;
Pesquisador;"Tipo, um exemplo, ""ah, a daily demora muito, poderia ser mais curta"". Se não pensar em algo, tudo bem, a gente passa para a próxima pergunta";
Entrevistado;Agora eu tô pensando.... Eu sempre tive a liberdade de.... Querendo ou não abrir câmera é uma coisa que valoriza muito, né? Mas eu tenho essa liberdade de falar não quero, não estou me sentindo bem. Eu sei que se eu chegar lá e falar eu não tô me sentindo bem, não vou participar mais participar da agenda.. Está tudo bem, sabe? Eu preciso me esforçar para participar, mas se não der certo também, tudo bem. Às vezes acontece alguma coisa que eu não estou muito bem. E aí eu tô me esforçando para estar lá e a galera fala tira o dia para descansar, tira o resto do dia, descansa, amanhã você volta para equipe e trabalha melhor. Sabe, tipo assim, eu tenho liberdade de falar coisas assim. Quanto a questão de tempo de duração das coisas, eu nem preciso falar porque todo mundo já enche a paciência bastante, não precisa partir isso de mim, todo mundo fica irritado com a duração de algumas agendas e a gente, já é algo natural diminuir ao máximo a duração das agendas.;
Pesquisador;Quais ferramentas que vocês utilizam para se comunicar com pessoas da tua equipe ou clientes?;
Entrevistado;A gente usa o Teams;
Pesquisador;Só o Teams mesmo? ;
Entrevistado;É, isso aí ;
Pesquisador;E como é a tua experiência nessa ferramenta?;
Entrevistado;O Teams é uma ferramenta mundialmente odiada né, ele falha o todo tempo, então todo mundo odeia. Mas eu passo raiva as vezes quando ele trava de alguma forma específica e tem que dar um jeito dele voltar a funcionar e isso me irrita bastante. Mas vou falar de ultimamente o que mais tem me irritado é quando quando várias pessoas começam a mandar no grupo e fica fazendo notificação todo hora e eu não consigo parar aquilo. A única opção que eu tenho é mutar e fica mutado para sempre. Não tem um botão temporário igual no WhatsApp, por exemplo. Eu acho que o maior problema que eu tenho é a ferramenta não funcionar, mas no mais eu gosto bastante das funções assim de calendário. Eu gosto bastante.;
Pesquisador;Se tivesse uma função ali só de mutar algumas conversas....;
Entrevistado;É, tipo assim, de mutar temporário, mutar por 2 horas, pronto, aí depois de 2 horas ele volta ao normal;
Pesquisador;E quais é ferramentas vocês utilizam para fazer a gerência das atividades? Tipo o Trello, o Jira;
Entrevistado;A gente tem um próprio interno, parecido com o trello;
Pesquisador;E como é a tua experiência nele? Tem algo que tu mudarias igual no Teams, a questão das notificações?;
Entrevistado;Não, não, ele é bem bonzinho. Pelo menos pra mim que não sou de gestão.... Uma coisa que tenho dificuldade é de identificar quando mover os cards para as outras coisas. Porque, tipo assima coluna de execução e em progresso. Aí eu botei lá, aí a gente também tem executado e em teste. Só que aí o que que pega também, às vezes eu peguei uma tarefa e diz assim, rapidão, em um dia. E aí não sei o que eu posso mover para executado e eu vou testar ela, então não sei se eu posso para executado e nem para em teste, sabe?! Coisas assim.... Acho que uma descrição do que que é exatamente se trata cada coluna, o que deve ter estar feito para estar naquela coluna;
Pesquisador; Quais ferramentas que vocês utilizam para fazer o compartilhamento de arquivos, documentos ou código fonte?;
Entrevistado;O que é oficial, de código, é o Github mesmo, agora o resto é só mensagenzinha no Teams mesmo ;
Pesquisador;E sobre o Github tem algo que atraplha a tua experiência nele ou alguma funcionalidade que gostaria de tivesse para facilitar o uso?;
Entrevistado;Uma opção de prévia do que vai acontecer se eu clicar em alguma coisa... Tipo assim, eu posso abrir um pull request aí às vezes eu esqueço que é um pull request. Então eu passo o mouse ali e eu vejo o que vai parecer quando eu criar um pull request pra eu saber se é aquilo que eu quero e às vezes eu lembro da tela do que eu vou fazer, mas eu não lembro do nome, entendeu? Não sei sei se faz sentido....... ;
Pesquisador;Seria uma descrição das etapas?;
Entrevistado;Acho que não, seria uma préviazinha mesmo;
Pesquisador;Entendi. Então agora eu queria saber se tu faz parte de algum grupo ou comunidade voltado para apoiar pessoas neurodivergentes?;
Entrevistado;É.... não. Então eu tenho amigos, colegas do trabalho mesmo que eu fiz quando eu entrei, então eu ainda tenho contato e de vez em quando a gente conversa e tal, mas é só;
Pesquisador;Mas tens conhecimento de alguma dessas comunidades ou é algo que tu nem procuras saber sobre?;
Entrevistado;Nem sei dizer;
Pesquisador;Tudo bem.... e na empresa que estás trabalhando tem algum grupo voltado para a inclusão de pessoas neurodivergentes?;
Entrevistado;Pra pessoas atípicas no geral, tem. A gente tem comunidade PCD, a gente tem comunidade pra tudo, na verdade. Mas sinceramente, eu tenho preguiça de acompanhar, então eu não fico entrando;
Pesquisador;Por conta das mensagens?;
Entrevistado;É... Quando é muito escalado, muita coisa eu não consigo acompanhar e aí eu fico ansiosa de não conseguir acompanhar;
Pesquisador;Para além dessa comunidade, a empresa possui algum espaço físico voltado para o acolhimento para pessoas neurodivergentes, alguma sala?;
Entrevistado;Não, não tem... Não tem uma sala precisa pra isso, mas tem várias sala que podem servir pra isso, sabe? Mas quando tem um evento geral, igual quando tem a convençao, ai sim tem uma salinha de descompressão e é, tipo, luz baixo, lugar pra sentar, totalmente silêncio. ;
Pesquisador;Bom, agora sim nós vamos o nosso último bloco de perguntas.... Que tipos de características tu enxergas como positivas, algum ponto forte que tanto pessoas já destacaram ou que tu mesma consegue já consegue identificar como diferencial de acordo com o teu diagnóstico? ;
Entrevistado;Ai, tu me quebra,,,;
Pesquisador;Essa pergunta é um pouco difícil, então eu vou te dar um tempinho para pensar...;
Entrevistado;É porque a gente vive abraçado com a síndrome do imposto, então é bem difícil de falar alguma coisa....;
Pesquisador;Eu posso ir para outra pergunta, enquanto tu pensas nessa, o que tu acha?;
Entrevistado;Pode ser.... Pode repetir a pergunta?;
Pesquisador;Posso sim, queria saber de ti que tipos de características tu enxergas como sendo sendo os teus pontos fortes que te auxiliam na tua área de atuação?;
Entrevistado;Perfeito, então pode passar para a próxima;
Pesquisador;Então quais são os teus pontos fracos que às vezes podem acabar te atrapalhando na tua área de atuação decorrentes do teu diagnóstico?;
Entrevistado;Hmmm... A sobrecarga, às vezes não aguento mais ver tela, às vezes eu aguento mais usar fone de ouvido e escutar gente falando. Bom, então assim, a sobrecarga atrapalha muito. Deixa eu ver.... A distração constante..... Me distraí, foi mal, foi bem na hora;
Pesquisador;Não, relaxa....;
Entrevistado;Foi bem na hora.... Às vezes eu tô prestando atenção em algo, mas mesmo assim não tô entendendo absolutamente nada. Acontece muito ;
Pesquisador;Será que a gente consegue voltar para a outra pergunta?;
Entrevistado;Podemos tentar;
Pesquisador;Vamos tentar então, então eu queria que tu pudesse comentar algumas características que identificas como positivas em ti mesma, pode ser algo que alguém já tenha comentado contigo...;
Entrevistado;Tá, vamos para o que já comentaram comigo.... É a questão de algumas iniciativas, algumas coisas que eu sei que eu sei fazer bem e eu posso me oferecer para fazer. Por exemplo, a documentação do time, eu consigo manusear bem as ferramentas que a galera reclama bastante. Então, é aglo que eu posso fazer, que eu posso assumir. Então quando eu eu sinto isso, eu me ofereço pra fazer... Não sei se faz sentido?;
Pesquisador;Faz, faz sim... Mais alguma coisa?;
Entrevistado;É.... O esquecimento me atrapalha bastante, tipo eu esqueço completamente algo que eu sei fazer... Meu cerébro apaga aquela informação;
Pesquisador;Bom, chegamos ao fim da nossa entrevista. Tens alguma dúvida?;
Entrevistado;Não...;
Pesquisador;Muito obrigada pelo teu tempo e disponibilidade, foi muito valiosa a nossa troca. Fico disponível para caso tenha alguma dúvida, é só chamar;
